# Pathway	Apr2015_GCSS01-A_03222016_S29_L004	Apr2015_GCSS01-B_03222016_S30_L004	Apr2015_GCSS01_03222016_S15_L003	Apr2015_GCSS02_03222016_S16_L003	Apr2015_GCSS03_03222016_S17_L003	Apr2015_GCSS04_03222016_S18_L003	Apr2015_GCSS05-A_03222016_S31_L004	Apr2015_GCSS05-B_03222016_S32	Apr2015_GCSS05_03222016_S19	Apr2015_GCSS06_03222016_S20	Apr2015_GCSS07_03222016_S21	Apr2015_GCSS08_03222016_S22	Apr2015_GCSS09_03222016_S23	Apr2015_GCSS10_03222016_S24	Apr2015_GCSS11_03222016_S25	Apr2015_GCSS12_03222016_S26	Apr2015_GCSS13_03222016_S27	Apr2015_GCSS14_03222016_S28	Dec2014_GCSS01_03222016_S1	Dec2014_GCSS02_03222016_S2	Dec2014_GCSS03_03222016_S3	Dec2014_GCSS04_03222016_S4	Dec2014_GCSS05_03222016_S5	Dec2014_GCSS06_03222016_S6	Dec2014_GCSS07_03222016_S7	Dec2014_GCSS08_03222016_S8	Dec2014_GCSS09_03222016_S9	Dec2014_GCSS10_03222016_S10	Dec2014_GCSS11_03222016_S11	Dec2014_GCSS12_03222016_S12	Dec2014_GCSS13_03222016_S13	Dec2014_GCSS14_03222016_S14	merged-0_Abundance	merged-9_Abundance	merged-15_Abundance	merged-16_Abundance	merged-17_Abundance
UNMAPPED	594676	607292	609020	648347	619950	631457	644235	630395	623451	635020	590646	600868	600889	612320	654377	632197	625499	627170	641934	626023	642733	625716	638151	631473	613955	616270	642294	631064	626750	636300	613913	631454	570770	578732	564311	559680	564493
UNINTEGRATED	371617	360023	358034	324654	350484	337220	334364	347255	352960	340933	373111	370618	372320	359707	324488	345065	346461	343718	333299	347065	331738	347863	336820	343612	361755	362688	335536	350364	348429	342623	363950	341683	402091	393628	407890	409469	405136
UNINTEGRATED|unclassified	371617	360023	358034	324654	350484	337220	334364	347255	352960	340933	373111	370618	372320	359707	324488	345065	346461	343718	333299	347065	331738	347863	336820	343612	361755	362688	335536	350364	348429	342623	363950	341683	402091	393628	407890	409469	405136
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	208.378	199.374	205.263	165.488	181.207	186.264	130.253	131.648	132.987	138.017	216.143	180.445	136.9	144.821	110.497	136.44	186.201	181.933	157.797	165.123	165.438	150.484	151.263	143.646	124.411	112.94	128.57	99.9655	123.729	115.811	118.217	165.987	144.62	145.237	143.777	169.134	165.521
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified	208.378	199.374	205.263	165.488	181.207	186.264	130.253	131.648	132.987	138.017	216.143	180.445	136.9	144.821	110.497	136.44	186.201	181.933	157.797	165.123	165.438	150.484	151.263	143.646	124.411	112.94	128.57	99.9655	123.729	115.811	118.217	165.987	144.62	145.237	143.777	169.134	165.521
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	3.76454	5.29029	4.45922	3.03561	3.11599	8.33205	0.985712	1.21579	2.05505	1.22534	4.00153	0.844757	1.79856	3.81814	1.04736	2.37939	3.67224	5.68578	3.70505	0.998282	0	1.34709	0	0.834945	1.59502	0.894798	0	1.28248	3.11177	1.39532	1.88009	1.48273	2.31721	3.58948	3.01847	2.36927	2.52748
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|unclassified	3.76454	5.29029	4.45922	3.03561	3.11599	8.33205	0.985712	1.21579	2.05505	1.22534	4.00153	0.844757	1.79856	3.81814	1.04736	2.37939	3.67224	5.68578	3.70505	0.998282	0	1.34709	0	0.834945	1.59502	0.894798	0	1.28248	3.11177	1.39532	1.88009	1.48273	2.31721	3.58948	3.01847	2.36927	2.52748
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism	0	0	0	0	13.4482	0	0	0	0	0	0	0	0	9.60316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.80794	4.76866	6.27436
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism|unclassified	0	0	0	0	13.4482	0	0	0	0	0	0	0	0	9.60316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.80794	4.76866	6.27436
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	10.0917	8.29327	7.93415	4.34724	7.52001	15.1053	4.87036	4.47455	4.2123	5.81232	9.06773	1.02556	5.71623	5.86976	3.55723	3.02656	6.08383	6.26772	2.20881	5.76339	5.1778	5.29031	4.50742	4.57965	5.01073	2.55095	4.1768	2.27344	4.19737	2.50084	4.68724	5.08102	7.19768	7.75907	7.99361	7.36361	7.18028
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast|unclassified	10.0917	8.29327	7.93415	4.34724	7.52001	15.1053	4.87036	4.47455	4.2123	5.81232	9.06773	1.02556	5.71623	5.86976	3.55723	3.02656	6.08383	6.26772	2.20881	5.76339	5.1778	5.29031	4.50742	4.57965	5.01073	2.55095	4.1768	2.27344	4.19737	2.50084	4.68724	5.08102	7.19768	7.75907	7.99361	7.36361	7.18028
ANAEROFRUCAT-PWY: homolactic fermentation	115.125	112.264	108.998	98.0658	112.047	97.9102	97.7393	101.967	108.818	121.138	114.299	132.525	133.282	133.925	90.6957	115.164	99.336	104.804	107.289	105.582	95.2871	115.627	108.78	117.683	119.361	104.065	110.578	95.2161	108.93	109.708	116.079	111.638	141.107	148.4	155.679	174.349	177.043
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	115.125	112.264	108.998	98.0658	112.047	97.9102	97.7393	101.967	108.818	121.138	114.299	132.525	133.282	133.925	90.6957	115.164	99.336	104.804	107.289	105.582	95.2871	115.627	108.78	117.683	119.361	104.065	110.578	95.2161	108.93	109.708	116.079	111.638	141.107	148.4	155.679	174.349	177.043
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	166.603	158.304	153.388	114.436	138.556	130.965	127.057	128.779	135.116	167.46	160.432	180.75	172.162	171.559	139.461	147.12	143.827	134.014	133.241	130.965	123.207	144.38	149.571	153.662	173.34	135.218	136.858	123.947	151.187	145.113	148.573	153.145	180.806	190.125	190.271	218.704	213.242
